"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value","season","season_type"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",9130,3405,0.373,2,"2005-06","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",63017,37304,0.592,2,"2005-06","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5409,2123,0.392,3,"2005-06","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",125,2,0.016,3,"2006-07","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",6301,2159,0.343,3,"2006-07","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",11690,4127,0.353,3,"2006-07","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",11408,4110,0.36,3,"2006-07","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",376,10,0.027,3,"2006-07","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",5347,2287,0.428,2,"2006-07","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",16224,6700,0.413,2,"2006-07","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1830,742,0.405,2,"2006-07","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1812,681,0.376,2,"2006-07","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",6296,2420,0.384,3,"2006-07","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7053,2804,0.398,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1778,753,0.424,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",9939,3929,0.395,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",9478,3607,0.381,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",9372,3773,0.403,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10491,4361,0.416,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",8162,3303,0.405,2,"2006-07","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",8486,3309,0.39,2,"2006-07","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",64492,38707,0.6,2,"2006-07","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5412,2076,0.384,3,"2006-07","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",129,3,0.023,3,"2007-08","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",6849,2374,0.347,3,"2007-08","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",12540,4481,0.357,3,"2007-08","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",12323,4426,0.359,3,"2007-08","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",468,10,0.021,3,"2007-08","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6435,2577,0.4,2,"2007-08","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",15001,6210,0.414,2,"2007-08","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",2249,880,0.391,2,"2007-08","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2226,918,0.412,2,"2007-08","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",6340,2479,0.391,3,"2007-08","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",8386,3433,0.409,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1688,721,0.427,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",10377,4195,0.404,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",8623,3268,0.379,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",9213,3787,0.411,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10936,4413,0.404,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",8205,3428,0.418,2,"2007-08","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",8558,3283,0.384,2,"2007-08","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",64133,38456,0.6,2,"2007-08","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5822,2327,0.4,3,"2007-08","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",112,4,0.036,3,"2008-09","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",6677,2385,0.357,3,"2008-09","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",12232,4453,0.364,3,"2008-09","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",12317,4465,0.363,3,"2008-09","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",445,10,0.022,3,"2008-09","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6223,2563,0.412,2,"2008-09","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",14898,6255,0.42,2,"2008-09","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",2042,803,0.393,2,"2008-09","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2251,857,0.381,2,"2008-09","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",6748,2657,0.394,3,"2008-09","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7773,3212,0.413,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1680,736,0.438,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",9716,3993,0.411,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",8777,3372,0.384,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",9026,3603,0.399,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10621,4397,0.414,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",8006,3165,0.395,2,"2008-09","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",8391,3208,0.382,2,"2008-09","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",65152,38818,0.596,2,"2008-09","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5943,2346,0.395,3,"2008-09","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",91,1,0.011,3,"2009-10","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",7037,2377,0.338,3,"2009-10","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",12433,4262,0.343,3,"2009-10","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",12677,4505,0.355,3,"2009-10","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",475,17,0.036,3,"2009-10","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6149,2509,0.408,2,"2009-10","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",15889,6864,0.432,2,"2009-10","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",2090,848,0.406,2,"2009-10","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2298,959,0.417,2,"2009-10","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",6263,2452,0.392,3,"2009-10","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7729,3104,0.402,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1727,734,0.425,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",9400,3651,0.388,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",8944,3457,0.387,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",8682,3595,0.414,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10166,4007,0.394,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",7762,3234,0.417,2,"2009-10","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",8759,3495,0.399,2,"2009-10","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",66762,40450,0.606,2,"2009-10","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5633,2199,0.39,3,"2009-10","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",87,4,0.046,3,"2010-11","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",6612,2187,0.331,3,"2010-11","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",12459,4408,0.354,3,"2010-11","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",12328,4400,0.357,3,"2010-11","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",469,14,0.03,3,"2010-11","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6057,2508,0.414,2,"2010-11","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",20341,7828,0.385,2,"2010-11","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1894,693,0.366,2,"2010-11","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2291,894,0.39,2,"2010-11","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",6474,2535,0.392,3,"2010-11","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7754,3118,0.402,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1876,819,0.437,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",8820,3511,0.398,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",9026,3505,0.388,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",8069,3236,0.401,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",10446,4204,0.402,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",7599,3137,0.413,2,"2010-11","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",8360,3271,0.391,2,"2010-11","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",62928,39009,0.62,2,"2010-11","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",5871,2332,0.397,3,"2010-11","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",60,1,0.017,3,"2011-12","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",5594,1858,0.332,3,"2011-12","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",10272,3496,0.34,3,"2011-12","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",10361,3639,0.351,3,"2011-12","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",304,10,0.033,3,"2011-12","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",5041,1981,0.393,2,"2011-12","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",15642,5855,0.374,2,"2011-12","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1568,629,0.401,2,"2011-12","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1692,654,0.387,2,"2011-12","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",4998,1880,0.376,3,"2011-12","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",6418,2545,0.397,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1558,682,0.438,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",7129,2773,0.389,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",7044,2667,0.379,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",6159,2366,0.384,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",8164,3075,0.377,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",5682,2252,0.396,2,"2011-12","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",6629,2533,0.382,2,"2011-12","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",52099,31512,0.605,2,"2011-12","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",4791,1799,0.375,3,"2011-12","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",66,2,0.03,3,"2012-13","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",7645,2636,0.345,3,"2012-13","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",13465,4683,0.348,3,"2012-13","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",13923,4998,0.359,3,"2012-13","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",420,8,0.019,3,"2012-13","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6463,2594,0.401,2,"2012-13","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",19058,7165,0.376,2,"2012-13","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1800,767,0.426,2,"2012-13","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1991,745,0.374,2,"2012-13","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",7056,2726,0.386,3,"2012-13","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7525,2951,0.392,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1940,815,0.42,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",8495,3305,0.389,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",8359,3212,0.384,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",6992,2823,0.404,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",9371,3688,0.394,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",6506,2517,0.387,2,"2012-13","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",7895,3105,0.393,2,"2012-13","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",66135,39988,0.605,2,"2012-13","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",6474,2547,0.393,3,"2012-13","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",64,4,0.063,3,"2013-14","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",9202,3274,0.356,3,"2013-14","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",14858,5288,0.356,3,"2013-14","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",14855,5184,0.349,3,"2013-14","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",444,16,0.036,3,"2013-14","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6461,2650,0.41,2,"2013-14","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",20149,7810,0.388,2,"2013-14","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1820,704,0.387,2,"2013-14","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2021,809,0.4,2,"2013-14","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",7136,2792,0.391,3,"2013-14","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7643,2969,0.388,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",2021,857,0.424,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",8385,3326,0.397,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",8566,3341,0.39,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",5994,2431,0.406,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",9057,3563,0.393,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",5700,2223,0.39,2,"2013-14","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",7354,2883,0.392,2,"2013-14","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",66016,40159,0.608,2,"2013-14","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",6380,2483,0.389,3,"2013-14","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",55,2,0.036,3,"2014-15","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",9724,3289,0.338,3,"2014-15","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",15408,5259,0.341,3,"2014-15","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",15148,5194,0.343,3,"2014-15","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",427,11,0.026,3,"2014-15","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6599,2771,0.42,2,"2014-15","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",20196,7693,0.381,2,"2014-15","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",1706,711,0.417,2,"2014-15","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",2016,801,0.397,2,"2014-15","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",7374,2801,0.38,3,"2014-15","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7850,3130,0.399,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Center(C)","8-16 ft.",1963,847,0.431,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",8034,3153,0.392,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",8257,3239,0.392,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",5818,2282,0.392,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",8914,3454,0.387,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",5345,2162,0.404,2,"2014-15","Regular Season"
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",7595,3007,0.396,2,"2014-15","Regular Season"
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",66134,39735,0.601,2,"2014-15","Regular Season"
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",6987,2738,0.392,3,"2014-15","Regular Season"
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",59,4,0.068,3,"2015-16","Regular Season"
"League Averages","Above the Break 3","Center(C)","24+ ft.",10885,3746,0.344,3,"2015-16","Regular Season"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",16648,5802,0.349,3,"2015-16","Regular Season"
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",15837,5597,0.353,3,"2015-16","Regular Season"
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",440,17,0.039,3,"2015-16","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",6851,2889,0.422,2,"2015-16","Regular Season"
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",19352,7561,0.391,2,"2015-16","Regular Season"
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",2089,842,0.403,2,"2015-16","Regular Season"
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",1932,799,0.414,2,"2015-16","Regular Season"
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",7864,2939,0.374,3,"2015-16","Regular Season"
"League Averages","Mid-Range","Center(C)","16-24 ft.",7324,2897,0.396,2,"2015-16","Regular Season"
