"grid_type","shot_zone_basic","shot_zone_area","shot_zone_range","fga","fgm","fg_pct","shot_value"
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",1238,428,0.346,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",1129,411,0.364,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",39,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",569,242,0.425,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1259,455,0.361,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",149,60,0.403,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",136,64,0.471,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",618,225,0.364,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",385,157,0.408,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",173,67,0.387,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",435,162,0.372,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",613,244,0.398,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",298,129,0.433,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",549,206,0.375,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",309,117,0.379,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",517,201,0.389,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4470,2611,0.584,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",579,240,0.415,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",8,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",868,290,0.334,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",1274,467,0.367,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",1260,457,0.363,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",42,0,0,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",440,202,0.459,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1063,476,0.448,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",119,55,0.462,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",136,56,0.412,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",591,249,0.421,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",318,139,0.437,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",115,50,0.435,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",317,135,0.426,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",439,157,0.358,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",259,95,0.367,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",436,184,0.422,2
"League Averages","Mid-Range","Right Side(R)","16-24 ft.",233,86,0.369,2
"League Averages","Mid-Range","Right Side(R)","8-16 ft.",475,185,0.389,2
"League Averages","Restricted Area","Center(C)","Less Than 8 ft.",4271,2606,0.61,2
"League Averages","Right Corner 3","Right Side(R)","24+ ft.",539,191,0.354,3
"League Averages","Above the Break 3","Back Court(BC)","Back Court Shot",4,0,0,3
"League Averages","Above the Break 3","Center(C)","24+ ft.",980,322,0.329,3
"League Averages","Above the Break 3","Left Side Center(LC)","24+ ft.",1358,447,0.329,3
"League Averages","Above the Break 3","Right Side Center(RC)","24+ ft.",1414,494,0.349,3
"League Averages","Backcourt","Back Court(BC)","Back Court Shot",41,2,0.049,3
"League Averages","In The Paint (Non-RA)","Center(C)","8-16 ft.",713,303,0.425,2
"League Averages","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",1090,388,0.356,2
"League Averages","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",151,62,0.411,2
"League Averages","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",129,49,0.38,2
"League Averages","Left Corner 3","Left Side(L)","24+ ft.",524,213,0.406,3
"League Averages","Mid-Range","Center(C)","16-24 ft.",361,160,0.443,2
"League Averages","Mid-Range","Center(C)","8-16 ft.",136,51,0.375,2
"League Averages","Mid-Range","Left Side Center(LC)","16-24 ft.",334,117,0.35,2
"League Averages","Mid-Range","Left Side(L)","8-16 ft.",454,179,0.394,2
"League Averages","Mid-Range","Left Side(L)","16-24 ft.",181,42,0.232,2
"League Averages","Mid-Range","Right Side Center(RC)","16-24 ft.",386,162,0.42,2
